,text,polarity,subjectivity
0,"For the first time in nearly 4 years, a group of migrants were caught illegally entering the Australian mainland by sea, after they survived a shipwreck and several days in crocodile-infested waters https://nyti.ms/2PKvIk3 ",-0.03,0.25
1,North Korean state media criticized the United States for “extremely provocative and dangerous military moves” in Pacific waters https://nyti.ms/2PKqVyY ,-0.27,0.67
2,"We’re discouraged from talking about money at every turn, but if you want to fix your financial situation, talking about it is necessary https://nyti.ms/2wkRrXL ",0.00,0.50
3,"The cave bear, extinct for thousands of years, lives on in today's brown bears, a new study shows. ""Extinction does not imply that genetic material is gone forever."" https://nyti.ms/2BS8QvN ",-0.13,0.53
4,We met Gajendran in the hospital a couple of months back. He was beaten up alongside his mother in law Rukmini who died then and there. His family scraped through last bit of their moneys to keep him alive at a private hospital. He just died. https://www.nytimes.com/interactive/2018/07/18/technology/whatsapp-india-killings.html …,0.03,0.21
5,"""Given that this flu virus is a potential threat to humanity, not sharing it immediately with the global network of W.H.O. laboratories like C.D.C. is scandalous. Many could die needlessly if China denies international access to samples."" https://nyti.ms/2od99b0 ",0.00,0.50
6,A yoga ball filled with carbon monoxide. An affair between a professor and his student. A dead wife and daughter. https://nyti.ms/2MVjQwZ ,0.10,0.65
7, Can I live? https://nyti.ms/2PHdT5f ,0.14,0.50
8,"“This was the biggest DNA investigation in the Netherlands so far, and we’re proud of it.” An inquiry using DNA from 17,500 Dutchmen has led to an arrest in a murder case that went unsolved for 20 years. https://nyti.ms/2PcIx5j ",0.28,0.67
9,"“I cannot imagine any metric in which an agreement between the U.S. and Mexico can be the largest,” a trade expert https://nyti.ms/2PJYqBt ",0.00,0.00
10,"In a remarkable break from usual decorum, American Catholic leaders are in open conflict over the explosive allegations from a former Vatican diplomat against Pope Francis https://nyti.ms/2wqCbI3 ",0.08,0.27
11,"Brands are reintroducing products for new generations. “What’s old is new again."" https://nyti.ms/2wsIHxU ",0.12,0.37
12,"“The church was in every part of my life. That moment in Galway [in 1979] when the pope said, ‘Young people of Ireland, I love you,’ I believed him. My heart nearly burst. A year and a half later I was raped by a Catholic priest.” https://nyti.ms/2P92ry8 ",0.09,0.28
13,"By experimenting with tiny textures, scientists may have found a way to reduce the impact of barnacles, which add billions of dollars of costs to the shipping industry every year https://nyti.ms/2MXpLRW ",0.00,0.50
14,"I interviewed Joe Arpaio in Arizona & we discussed many things, among them the pummeling he’s taking in the Senate race, getting fooled by Sasha Baron Cohen & how he responds to being called a racist. Story  https://nyti.ms/2oePCHg?smid=nytcore-ios-share …",0.50,0.50
15,"Louis C.K. made an unannounced appearance at a New York City comedy club, performing there for the first time since he admitted to sexual misconduct https://nyti.ms/2MTk9by ",0.30,0.54
16,The student loan watchdog blasted the Trump administration for protecting predatory lenders at the expense of borrowers. “You have used the bureau to serve the wishes of the most powerful financial companies in America.” https://nyti.ms/2Pb40vo ,0.05,0.60
17,"Rose McGowan, one of the leading voices of the #MeToo movement, has spoken out on the Asia Argento allegations. She implored Argento to “be the person you wish Harvey could have been.” https://nyti.ms/2PcVmwt ",0.60,0.95
18,"The president ignored pleas from top advisers, including VP Pence, Kelly, Sanders and Shine to issue a unifying and prompt statement on McCain’s passing. This afternoon he relented as the senate mourned. By me ⁦@npfandos⁩ and ⁦@maggieNYT⁩ https://www.nytimes.com/2018/08/27/us/politics/flag-half-staff-mccain-trump.html …",0.50,0.50
19,Why did the interview with Sarah Palin never air on Sacha Baron Cohen’s “Who Is America?” Showtime isn’t saying. https://nyti.ms/2NnPfFk ,0.00,0.00
20,"Nearly 2 dozen Rohingya refugees say one Buddhist neighbor, above all, is responsible for the mass slaughter in their village last August. Watch our Instagram story here:  http://bit.ly/2BTzXqv pic.twitter.com/UxBfNMzJ7t",0.08,0.28
21,The Rohingya of one Myanmar village know the man who raped and tortured them for years. They say he helped soldiers torch their homes and kill their relatives. They know where he lives and they know his phone number. They wonder why he hasn't been punished https://nyti.ms/2MQirHQ ,0.00,0.00
22,How Robin Williams made one specific joke both funny and sad https://nyti.ms/2wsIGtQ ,-0.08,0.71
23,"If Republicans retain control of both houses of Congress, we will become another Poland or Hungary faster than you can imagine, warns @PaulKrugman https://nyti.ms/2wlETz6 ",0.00,0.00
24,Read John McCain's farewell statement https://nyti.ms/2wlxwHU ,0.00,0.00
25,"Rep. Hunter, who sometimes visited a Capitol Hill bar multiple times a day, was part of a ‘bro caucus’ that @Boehner told to knock it off. https://www.nytimes.com/2018/08/26/us/duncan-hunter-corruption-scandal.html …",0.00,0.00
26,Did Juul try to lure teenagers to its sleek e-cigarettes and get customers for life? That question is at the heart of a federal investigation. https://nyti.ms/2PI7w1x ,0.00,0.00
27,"""The suspect clearly targeted other gamers."" The Jacksonville gunman walked past patrons before opening fire on players, the sheriff said. https://nyti.ms/2PJ61Ao ",-0.09,0.34
28,"Matthew Broderick on Neil Simon: “I owe him a career"" https://nyti.ms/2PENtBj ",0.00,0.00
29,Evening Briefing: Here's what you need to know at the end of the day https://nyti.ms/2PEWdr7 ,0.00,0.00
30,"What we learned Monday about the Jacksonville shooting, with @alanblinder and a big @nytimes team: https://www.nytimes.com/2018/08/27/us/jacksonville-shooting-gaming-esports.html …",0.00,0.10
31,Could Trump’s missing signature force him to be deposed? https://nyti.ms/2MUW2cB ,-0.20,0.05
